player_id;date_time;market_value
1;01/01/2009;19464680
1;01/01/2010;45299387
1;01/01/2011;27090907
1;01/01/2012;32398530
1;31/12/2012;11822007
1;31/12/2013;47393585
1;31/12/2014;22437949
1;31/12/2015;33674972
1;30/12/2016;17891640
1;30/12/2017;5704779
1;30/12/2018;28282608
1;30/12/2019;18011268
1;29/12/2020;31787616
1;29/12/2021;19661178
1;29/12/2022;43702871
2;01/02/2018;1000000
2;01/03/2018;1200000
2;01/04/2018;1500000
2;01/05/2018;1600000
2;01/06/2018;2000000
2;01/07/2018;3000000
2;01/08/2018;4000000
2;01/09/2018;6000000
2;01/10/2018;10000000
2;01/11/2018;12000000
2;01/12/2018;15000000
2;01/01/2019;18000000
2;01/02/2019;19000000
2;01/03/2019;22000000
2;01/04/2019;25000000
3;01/01/2009;27792263
3;01/01/2010;27095748
3;01/01/2011;41646036
3;01/01/2012;43209943
3;31/12/2012;13147506
3;31/12/2013;4151781
3;31/12/2014;16568713
3;31/12/2015;24618643
3;30/12/2016;40159670
3;30/12/2017;33664119
3;30/12/2018;8857060
3;30/12/2019;14872940
3;29/12/2020;15613839
3;29/12/2021;11191298
3;29/12/2022;24440551
4;01/01/2009;32144610
4;01/01/2010;41746529
4;01/01/2011;12346417
4;01/01/2012;9935914
4;31/12/2012;30950559
4;31/12/2013;39059367
4;31/12/2014;14576109
4;31/12/2015;4845026
4;30/12/2016;29537851
4;30/12/2017;34188458
4;30/12/2018;17773385
4;30/12/2019;42685627
4;29/12/2020;11927794
4;29/12/2021;24415684
4;29/12/2022;13555816
5;01/01/2009;36022546
5;01/01/2010;27654222
5;01/01/2011;14033023
5;01/01/2012;44634592
5;31/12/2012;8185565
5;31/12/2013;41707866
5;31/12/2014;48197093
5;31/12/2015;28049782
5;30/12/2016;27395344
5;30/12/2017;31183219
5;30/12/2018;38951980
5;30/12/2019;11694772
5;29/12/2020;34715312
5;29/12/2021;24010696
5;29/12/2022;31809439
6;01/01/2009;32775072
6;01/01/2010;7133215
6;01/01/2011;42003334
6;01/01/2012;35743986
6;31/12/2012;48453580
6;31/12/2013;15724280
6;31/12/2014;39945274
6;31/12/2015;23610082
6;30/12/2016;7746806
6;30/12/2017;18833002
6;30/12/2018;3060763
6;30/12/2019;6053553
6;29/12/2020;10084253
6;29/12/2021;39673222
6;29/12/2022;32626590
7;01/01/2009;45021759
7;01/01/2010;3688526
7;01/01/2011;41292262
7;01/01/2012;29618316
7;31/12/2012;33319397
7;31/12/2013;45263540
7;31/12/2014;5062621
7;31/12/2015;9647642
7;30/12/2016;38625383
7;30/12/2017;29772665
7;30/12/2018;46855350
7;30/12/2019;17311068
7;29/12/2020;22556773
7;29/12/2021;17231615
7;29/12/2022;16725486
8;01/01/2009;14936028
8;01/01/2010;37440728
8;01/01/2011;36124652
8;01/01/2012;28116470
8;31/12/2012;22284972
8;31/12/2013;21594648
8;31/12/2014;24652709
8;31/12/2015;30198249
8;30/12/2016;5967044
8;30/12/2017;14155962
8;30/12/2018;24997813
8;30/12/2019;8162569
8;29/12/2020;29647010
8;29/12/2021;9706657
8;29/12/2022;10942866
9;01/01/2009;10391802
9;01/01/2010;16128078
9;01/01/2011;37084322
9;01/01/2012;46953729
9;31/12/2012;6359765
9;31/12/2013;48605462
9;31/12/2014;38078642
9;31/12/2015;32517967
9;30/12/2016;15100535
9;30/12/2017;43828354
9;30/12/2018;16385516
9;30/12/2019;27116912
9;29/12/2020;18751854
9;29/12/2021;48293895
9;29/12/2022;16655068
10;01/01/2009;41663786
10;01/01/2010;36622236
10;01/01/2011;35374953
10;01/01/2012;6554838
10;31/12/2012;11817694
10;31/12/2013;9112663
10;31/12/2014;37686276
10;31/12/2015;46827395
10;30/12/2016;49400168
10;30/12/2017;7529722
10;30/12/2018;17967381
10;30/12/2019;31688682
10;29/12/2020;21287576
10;29/12/2021;23097145
10;29/12/2022;26249158
11;01/01/2009;7997364
11;01/01/2010;16365067
11;01/01/2011;13079744
11;01/01/2012;12777070
11;31/12/2012;44744688
11;31/12/2013;15904886
11;31/12/2014;3081657
11;31/12/2015;40997166
11;30/12/2016;46128256
11;30/12/2017;33381715
11;30/12/2018;29237829
11;30/12/2019;16470872
11;29/12/2020;33828318
11;29/12/2021;35643755
11;29/12/2022;49181113
12;01/01/2009;41614942
12;01/01/2010;18016405
12;01/01/2011;42705756
12;01/01/2012;49466739
12;31/12/2012;11706868
12;31/12/2013;14087234
12;31/12/2014;48161157
12;31/12/2015;18813938
12;30/12/2016;49581256
12;30/12/2017;5943864
12;30/12/2018;26809254
12;30/12/2019;23462014
12;29/12/2020;27715382
12;29/12/2021;41771122
12;29/12/2022;40787466
13;01/01/2009;8161270
13;01/01/2010;35086445
13;01/01/2011;25546419
13;01/01/2012;47857229
13;31/12/2012;5938487
13;31/12/2013;37749257
13;31/12/2014;23978869
13;31/12/2015;34890204
13;30/12/2016;29354791
13;30/12/2017;19133573
13;30/12/2018;28009522
13;30/12/2019;47414538
13;29/12/2020;31631197
13;29/12/2021;27097516
13;29/12/2022;13051786
14;01/01/2009;32060507
14;01/01/2010;29244959
14;01/01/2011;42927818
14;01/01/2012;49076391
14;31/12/2012;42083153
14;31/12/2013;18249889
14;31/12/2014;35649365
14;31/12/2015;13797685
14;30/12/2016;28383569
14;30/12/2017;11030382
14;30/12/2018;41944581
14;30/12/2019;25323528
14;29/12/2020;37904142
14;29/12/2021;44042306
14;29/12/2022;29813082